-13,-6,48
-14,-7,67
-12,-2,33
-6,-6,29
-3,-8,37
-2,-2,18
-2,-6,2
-11,-7,57
-11,-5,4
3,-5,8
-3,-2,42
-6,-4,10
-3,-9,61
-9,-1,13
-5,-5,16
-12,-7,39
-11,-1,20
-2,-8,55
-7,-5,23
-10,-2,26
-3,-3,31
-8,-3,35
-10,-9,45
-3,-9,74
-1,-10,43
-10,-6,51
-5,-11,53
-6,-12,59
-6,-12,59
0.0,0.0,0
8.0,3.0,3
3.0,9.0,6
12.0,6.0,10
6.0,1.0,12
7.0,9.0,15
5.0,2.0,16
5.0,-1.0,18
6.0,7.0,21
3.0,8.0,23
-1.0,-2.0,24
2.0,7.0,26
3.0,3.0,28
3.0,6.0,30
0.0,7.0,32
1.0,3.0,34
1.0,6.0,36
2.0,2.0,38
2.0,5.0,40
-5.0,-2.0,39
